제목	본문요약
'즐기는 자' 만치니의 포부 "웸블리 명성에 걸맞는 경기력 보이겠다" [유로2020]	로베르토 만치니 이탈리아 대표팀 감독이 27일 오전 4시(한국시각) 치러지는 오스트리아와의 UEFA  16강 맞대결을 앞두고 기자회견을 진행했다. 만치니 감독은 웸블리 스타디움에서의 경기를 즐길 줄 알아야...
'109골' 호날두, 전세계 최다골 눈앞 [유로2020]	호날두는 24일(한국시각) 헝가리 부다페스트에서 열린 UEFA  F조 최종전 포르,투갈과 프랑스의 경기에 풀타임 활약했다. 호날두는 전반 31분과 후반 15분 두 차례 페널티킥을 성공시키며 멀티 골을 터뜨렸다....
박 터진 유로 조별리그 마지막 날, 사상 최다 18골 '폭죽'	역대 하루 최다 골 기록…호날두 A매치 최다골 타이 등 진기록 나와 박 터지는 승부가 펼쳐진 2020 유럽축구선수권대회() 조별리그 마지막 날, 진귀한 기록이 많이 나왔다. 24일(한국시간) E조와 F조 최종전...
골키퍼들의 수난…유로 2020 '황당 자책골' 퍼레이드	이번 에선 이렇게 골키퍼들의 수난이 이어지면서 전에 없던 기록들이 만들어지고 있습니다. 온누리 기자입니다. [기자] < 슬로바키아:스페인｜ > 페널티킥을 멋지게 막아낸 골키퍼, 그러나 20분 뒤 이런...
"한번 챔피언은 영원한 챔피언"...호날두가 전한 감사 인사 [유로2020]	호날두는 24일 헝가리 부다페스트의 푸스카스 아레나에서 열린 UEFA  조별 리그 F조 최종전 프랑스와의 경기에서 멀티 골을 넣으며 2-2 무승부를 이끌었다. A매치 177경기에 출전해 109골을 넣은 호날두는 이란의...
'잉글랜드의 굴욕', 유로2020 조별예선 베스트11에 자국선수 '0명'	'우승'을 외치며 야심차게 에 참가한 잉글랜드 축구대표팀이 기대보다 저조한 경기력으로 자국 팬들에게 실망감을 전하고 있다. 비록 조별예선에서 무패로 1위를 차지하며 무난하게 16강에 올랐지만, '우승후보...
루카쿠-더 브라위너-로카텔리-둠프리스, 유로 2020 조별리그 베스트11	조별리그서 최고의 활약을 펼친 11명이 베일을 벗었다.  조별리그는 지난 24일(이하 한국시간) 막을 내렸다. 오는 27일 웨일스와 덴마크의 경기를 시작으로 16강 토너먼트가 진행된다. 스페인 매체...
잉글랜드, 체코 꺾고 유로 2020 16강 합류	잉글랜드의 라힘 스털링이 22일(현지시간) 런던의 웸블리 경기장에서 열린  체코와의 조별 리그 D조 3차전 전반 12분경 선제 결승 골을 넣고 기뻐하고 있다. 잉글랜드는 체코를 1-0으로 꺾고 조 1위로 16강에...
헨더슨 밝힌 독일 공략법 "산초-벨링엄, 승부차기" [유로2020]	독일 선수들의 특징에 대해 몇 가지 조언을 해줄 것"이라고 전했다. 한편, 잉글랜드 대표팀은 30일 오전 1시 영국 런던의 웸블리 스타디움에서 독일 대표팀을 상대로 UEFA  16강 맞대결을 펼친다. 사진=DPA/연합뉴스
아스널, 유로 출전한 英 센터백 영입 추진… 785억 베팅 전망	아스널이 잉글랜드 국가대표로 에 출전한 중앙 수비수 영입을 진행하고 있다. 영국 ‘스카이 스포츠’에 따르면 아스널은 브라이턴 앤 호브 앨비언의 주전 수비수 벤 화이트(24) 영입을 진행하고 있다. 이미...
'거취 언급 배제' 케인, "에이전트와 유로 2020에 대해서만 얘기 나눠"	해리 케인이 자신의 거취는  이후 언급하겠다는 입장을 굽히지 않았다. 영국 <스카이스포츠>는 26일(한국시간) 케인의 자신의 거취에 대해 언급한 내용을 전했다. 케인은 "현재는 잉글랜드 대표팀에만 집중하고...
"케인도 없네"… '유로2020 베스트11'에 한 명도 못낀 잉글랜드	유럽축구연맹(UEFA)과 이적 전문 사이트 트랜스퍼마르크트에서 공개한  조별라운드 베스트11 어디에도 잉글랜드 선수들이 이름을 올리지 못했다. UEFA는 25일(이하 한국시각)  공식 사이트에서 진행한...
유로 2020 독일-헝가리 경기에 ‘무지개’ 넘쳐난 이유	23일(이하 현지시간) 독일 뮌헨의 알리안츠 아레나에서 열린 유럽축구선수권대회()  조별리그 F조 독일과의 경기에 나선 헝가리 대표팀 선수들이 국가 연주를 들으며 국기에 경의를 표하는데 난데없이 무지개...
'유로 2020' 독일-헝가리 경기, 무지갯빛 넘쳐난 이유	BBC 2020 유럽축구선수권대회() 경기가 열린 독일 뮌헨이 무지갯빛으로 물들었다. 24일(한국시간) 독일과 헝가리의  조별리그 경기가 열린 독일 뮌헨의 알리안츠 아레나에는 성 소수자 인권을 지지하는...
'스털링 결승골' 잉글랜드, 체코 1-0으로 꺾고 유로 16강 안착	유럽축구선수권대회() 16강에 진출했다. 잉글랜드는 23일(한국시간) 영국 런던의 웸블리 스타디움에서 열린 체코와 대회 조별리그 D조 3차전에서 전반 12분 터진 스털링의 결승 골을 끝까지 지켜내 1-0으로...
'獨전설' 마테우스, 25년전 英 감독 실축 재조명 [유로2020]	UEFA  16강에서 '우승 후보' 잉글랜드와 독일이 맞붙는 빅매치가 성사됐다. 독일의 '전설' 로타어 마테우스가 대표팀 후배들에 대한 믿음을 드러냈다. 그는 "16강에서 잉글랜드라는 강팀을 만나지만 독일은 두려울...
[용팀 분석실] 소규모 이탈리아 구단이 유로 2020 전체에 미친 거대한 영향	의 전술적 흐름을 관통하는 키워드는 '아탈란타'다. 총연봉 규모가 중하위권에 불과한 팀이 지난 5년 동안 돌풍을 일으키면서 배출한 많은 선수들, 그리고 앞서간 전술이 이번 대회의 큰 맥락을 관통하고 있기...
FA, 사우스게이트 100% 신뢰...BBC "유로 성적 상관없이 英 이끌 듯"	그러나 이번 UEFA 유럽축구선수권대회()에선 사우스게이트 감독 전술 비판을 받고 있다. 최고 기량을 가진 선수들이 많지만 경기력은 극도로 부진하기 때문이다. 또한 잭 그릴리쉬, 제이든 산초와 같이 창의성이...
프랑스 독일 포르투갈 '죽음의 F조'에서 생존하다 [유로 2020]	독일의 레온 고레츠카(왼쪽)가 23일(현지시간) 헝가리와의  F조 최종 3차전에서 후반 39분 극적인 2-2 동점골을 터뜨리자 동료들이 환호하고 있다. 뮌헨/AP 연합뉴스[스포츠서울 김경무전문기자] ‘죽음의 F조’...
‘다크호스’들의 예측불허 승부…웨일스와 덴마크 대충돌 [유로프리뷰]	웨일스와 덴마크가 유럽축구선수권대회() 16강 첫 경기에서 격돌한다. 이들 두 팀이 오는 27일 오전 1시 네덜란드 암스테르담의 요한 크루이프 아레나에서 8강 티켓을 놓고 한판 승부를 벌인다. 지난 대회 4강에...
유로2020은 자책골 대회? 조별리그만으로 20년 기록 능가	이 뜻하지 않은 자책골 풍년을 겪고 있다. 유럽 축구 통계 매체 ‘트랜스퍼마크트’는 과 유로2000부터 2016까지 자책골을 합쳐 비교했다. 결과는 충격 그 자체였다. 은 조별리그만으로...
코로나19에 몸살 영국, 유로 2020 결승서 6만 관중 허용	을 치르는 웸블리 스타디움은 조별 라운드에선 2만2500명의 입장만을 허용했지만, 토너먼트에서는 정원의 50%인 4만5000명까지 팬들의 입장을 늘리기로 했다. 여기에 결승에서는 1만5000명을 더해 6만명의...
모라타 향한 도 넘은 악플 ..."가족 향한 모욕, 멈춰달라" [유로2020]	25일(한국시각) 스페인 문도 데포르티보와 인터뷰를 진행한 스페인 대표팀의 공격수 알바로 모라타는 UEFA 에서 부진한 모습을 보인 데 지나친 악성 메시지로 힘든 시간을 보내고 있다고 전했다. 그는 "몇 년 전만...
‘골은 몰아넣아야 재밌지!’ 스페인, 슬로바키아 상대로 5-0 대승 [유로2020]	스페인은 24일 오전 1시(한국시간) 스페인 세비야의 라 카르투야 스타디움에서 펼쳐진‘ E조 조별 예선 3차전’ 경기에서 슬로바키아를 상대로 5-0 대승을 거뒀다. 그럼에도 스웨덴과 폴라드의 경기에서 스웨덴이...
모라타, 유로 부진에 살해위협 받았다...가족에게도 화살	스페인 대표팀에 합류해 를 치르고 있는 공격수 알바로 모라타가 거센 비난과 함께 살해위협을 받은 사실을 털어놓았다. 영국 'BBC'는 25일(이하 현지시간) "모라타가  기간 동안 자신과 가족을 향한 비난이...
이탈리아, 무실점 3연승으로 유로2020 16강 진출	이탈리아가 3연승으로 2020 유럽축구선수권대회() 토너먼트에 안착했다. 이탈리아는 21일(한국시간) 이탈리아 로마의 올림피코 스타디움에서 열린  조별리그 A조 3차전에서 웨일스를 1-0으로 꺾었다....
'루카쿠&호날두&모드리치 포함' 골닷컴 선정 유로 조별 XI은?	본 매체(골닷컴) 글로벌 에디션 선정  조별 예선 베스트 11은?   A매치 최다 득점 동률 및 유로 대회 최다 득점자 호날두 / 벨기에 에이스 루카쿠 그리고 2018 발롱도르 위너 루카 모드리치 등 알토란 같은 활약...
